">epoch=195, lrate=0.001, train_error=0.401, train_acc=0.781, test_error=0.495, test_acc=0.726"
">epoch=196, lrate=0.001, train_error=0.401, train_acc=0.781, test_error=0.494, test_acc=0.727"
">epoch=197, lrate=0.001, train_error=0.401, train_acc=0.780, test_error=0.492, test_acc=0.727"
">epoch=198, lrate=0.001, train_error=0.402, train_acc=0.781, test_error=0.490, test_acc=0.727"
">epoch=199, lrate=0.001, train_error=0.402, train_acc=0.781, test_error=0.487, test_acc=0.728"
">epoch=200, lrate=0.001, train_error=0.402, train_acc=0.783, test_error=0.484, test_acc=0.729"
">epoch=201, lrate=0.001, train_error=0.403, train_acc=0.783, test_error=0.481, test_acc=0.732"
">epoch=202, lrate=0.001, train_error=0.403, train_acc=0.783, test_error=0.479, test_acc=0.732"
">epoch=203, lrate=0.001, train_error=0.403, train_acc=0.782, test_error=0.476, test_acc=0.736"
">epoch=204, lrate=0.001, train_error=0.404, train_acc=0.781, test_error=0.473, test_acc=0.739"
">epoch=205, lrate=0.001, train_error=0.404, train_acc=0.781, test_error=0.471, test_acc=0.740"
">epoch=206, lrate=0.001, train_error=0.404, train_acc=0.781, test_error=0.468, test_acc=0.743"
">epoch=207, lrate=0.001, train_error=0.403, train_acc=0.783, test_error=0.465, test_acc=0.744"
">epoch=208, lrate=0.001, train_error=0.403, train_acc=0.784, test_error=0.463, test_acc=0.746"
">epoch=209, lrate=0.001, train_error=0.402, train_acc=0.783, test_error=0.460, test_acc=0.749"
">epoch=210, lrate=0.001, train_error=0.401, train_acc=0.783, test_error=0.459, test_acc=0.749"
">epoch=211, lrate=0.001, train_error=0.400, train_acc=0.782, test_error=0.458, test_acc=0.750"
">epoch=212, lrate=0.001, train_error=0.399, train_acc=0.784, test_error=0.457, test_acc=0.753"
">epoch=213, lrate=0.001, train_error=0.397, train_acc=0.788, test_error=0.455, test_acc=0.754"
">epoch=214, lrate=0.001, train_error=0.396, train_acc=0.787, test_error=0.453, test_acc=0.753"
">epoch=215, lrate=0.001, train_error=0.394, train_acc=0.787, test_error=0.453, test_acc=0.756"
">epoch=216, lrate=0.001, train_error=0.393, train_acc=0.789, test_error=0.453, test_acc=0.756"
">epoch=217, lrate=0.001, train_error=0.391, train_acc=0.791, test_error=0.452, test_acc=0.755"
">epoch=218, lrate=0.001, train_error=0.389, train_acc=0.793, test_error=0.452, test_acc=0.755"
">epoch=219, lrate=0.001, train_error=0.388, train_acc=0.795, test_error=0.453, test_acc=0.755"
">epoch=220, lrate=0.001, train_error=0.386, train_acc=0.795, test_error=0.452, test_acc=0.753"
">epoch=221, lrate=0.001, train_error=0.384, train_acc=0.795, test_error=0.452, test_acc=0.756"
">epoch=222, lrate=0.001, train_error=0.383, train_acc=0.796, test_error=0.451, test_acc=0.757"
">epoch=223, lrate=0.001, train_error=0.381, train_acc=0.797, test_error=0.451, test_acc=0.756"
">epoch=224, lrate=0.001, train_error=0.379, train_acc=0.797, test_error=0.451, test_acc=0.759"
">epoch=225, lrate=0.001, train_error=0.378, train_acc=0.799, test_error=0.452, test_acc=0.760"
">epoch=226, lrate=0.001, train_error=0.376, train_acc=0.800, test_error=0.453, test_acc=0.760"
">epoch=227, lrate=0.001, train_error=0.375, train_acc=0.800, test_error=0.453, test_acc=0.758"
